video_id,url,title,channel,status,source,chars
9R7pCh4yCm8,https://www.youtube.com/watch?v=9R7pCh4yCm8,Coding a Python Stock Trading bot with Alpaca,Jacob Amaral,ok,ytdlp,12668
B0Jw0B61ANU,https://www.youtube.com/watch?v=B0Jw0B61ANU,Creating a Day Trading AI with a Deep Neural Network in Python,Part Time Larry,ok,ytdlp,14991
c9OjEThuJjY,https://www.youtube.com/watch?v=c9OjEThuJjY,How to Code a AI Trading bot (so you can make $$$),Nick (CodeWithNick),ok,ytdlp,33363
WcfKaZL4vpA,https://www.youtube.com/watch?v=WcfKaZL4vpA,How To Build A Trading Bot In Python,CodeTrading,ok,ytdlp,17694
bPlk9oqkbmw,https://www.youtube.com/watch?v=bPlk9oqkbmw,Predicting Stock Prices with Python and Machine Learning,Python/ML channel,ok,ytdlp,25111
1O_BenficgE,https://www.youtube.com/watch?v=1O_BenficgE,Predict The Stock Market With Machine Learning And Python,Dataquest,ok,ytdlp,30646
7N5KzxkIIe8,https://www.youtube.com/watch?v=7N5KzxkIIe8,Stock Price Prediction Using Machine Learning | Python ML Projects,Simplilearn,ok,ytdlp,41181
ZSGJjtM-5jA,https://www.youtube.com/watch?v=ZSGJjtM-5jA,FinRL: A Deep Reinforcement Learning Library for Automated Trading,AI4Finance,ok,ytdlp,2928
335QxO36pzo,https://www.youtube.com/watch?v=335QxO36pzo,Stock Trading AI with FinRL in Python: Part 3 Testing Results,Jacob (coding channel),ok,ytdlp,14268
kbINj8fFyd0,https://www.youtube.com/watch?v=kbINj8fFyd0,Ensemble AI Stock Trading with FinRL: Trade with Multiple AI Models,Jacob (coding channel),ok,ytdlp,17129
4OlvGGAsj8I,https://www.youtube.com/watch?v=4OlvGGAsj8I,Stock Market Sentiment Analysis Using Python & Machine Learning,Computer Science (channel),ok,ytdlp,26669
iW8NtsjTfN0,https://www.youtube.com/watch?v=iW8NtsjTfN0,I Built an AI Bot That Reads Market News and Predicts Sentiment (FinBERT),AI/finance channel,ok,ytdlp,8705
U9AaKuHkwHo,https://www.youtube.com/watch?v=U9AaKuHkwHo,Sentiment Analysis of Financial News with Python,Python finance channel,ok,ytdlp,8472
FRDKeNEeNAQ,https://www.youtube.com/watch?v=FRDKeNEeNAQ,"Sentiment Analysis of Financial News in Python - 3 Ways (Dictionary, FinBERT, LLMs)",Python finance channel,ok,ytdlp,48961
m1rY2J8ZlsY,https://www.youtube.com/watch?v=m1rY2J8ZlsY,Algorithmic Trading and Price Prediction using Python Neural Network Models,Python trading channel,no_transcript,,0
PuZY9q-aKLw,https://www.youtube.com/watch?v=PuZY9q-aKLw,Predicting Stock Prices in Python (RNN / Machine Learning),NeuralNine,ok,ytdlp,25520
fhBw3j_O9LE,https://www.youtube.com/watch?v=fhBw3j_O9LE,How to Build a Trading Bot with ChatGPT (ChatGPT + FinRL + Alpaca),Frank's World,ok,ytdlp,18393
dKBKNOn3gCE,https://www.youtube.com/watch?v=dKBKNOn3gCE,Stock Price Prediction Project with TensorFlow Keras LSTM Neural Networks,Python ML channel,ok,ytdlp,26101
