strat,ticker,oos_total,oos_sharpe,oos_maxdd,bh_total,bh_sharpe,bh_maxdd,beats_return,beats_sharpe
g015,SOL,-0.08443722823783395,0.21363462798154276,-0.6062924578889627,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g016,BTC,0.22588249194858512,0.42385437839490475,-0.32277410438237397,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g016,ETH,-0.1862489045139284,0.03055856185231847,-0.4994920106108591,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g016,SOL,-0.053713853015147084,0.2313493075655353,-0.48944061651349535,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g017,BTC,0.0661977829013618,0.25054456596836117,-0.23672001205368975,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g017,ETH,0.10824106294309543,0.29371906653988133,-0.30854608898358304,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g017,SOL,0.160209582953992,0.3651566142096156,-0.3066854637970501,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g018,BTC,0.07649542128673059,0.373143339407832,-0.10545391808200477,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g018,ETH,0.1818639232851258,0.9560502272212397,-0.0035983747065404526,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g018,SOL,0.43409364605334133,1.0106933169408971,-0.14075198343680495,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g019,BTC,-0.2795428127958046,-0.2088282505415399,-0.5237872637987414,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g019,ETH,-0.4443966622402654,-0.20386383722856896,-0.5656462680084425,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,False,False
g019,SOL,-0.46607523144245877,-0.20672093528917054,-0.6199447776794023,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g020,BTC,-0.028339602535979558,0.15798165574722342,-0.42052964716331986,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g020,ETH,-0.40936105927594024,-0.23112642906943506,-0.6394151313273767,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g020,SOL,-0.530551658419995,-0.16484951128776187,-0.7065271289461293,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g021,BTC,-0.072714584622248,-0.11443295095465009,-0.28234031052869657,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g021,ETH,-0.30116016677389446,-0.4341439867302622,-0.40107901817296154,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g021,SOL,-0.29227107709386946,-0.7924727522068563,-0.38060610677771767,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,False
g022,BTC,0.07649542128673059,0.373143339407832,-0.10545391808200477,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g022,ETH,0.1818639232851258,0.9560502272212397,-0.0035983747065404526,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
